Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"COQ2","YNR041C","mitochondria","17.36","5.2473","mitochondria","70.3325","mitochondria","31.3617","mitochondria","58.4006","#N/A","42.326","mitochondria","16.92","0.97","0","5.83","mitochondria","14.37","0.82","0","2.87","mitochondria","23.57","1.35","0","","mitochondria","mitochondria","15.9666","0.919064","0","3.71507","Para hydroxybenzoate: polyprenyl transferase, catalyzes the second step in ubiquinone (coenzyme Q) biosynthesis"
"COQ3","YOL096C","mitochondria","20.32","6.30005","mitochondria","87.1631","mitochondria","25.065","below threshold","32.1973","#N/A","27.322","mitochondria","24.01","1.18","0","7.74","mitochondria","19.48","0.95","0","3.66","mitochondria","35.11","1.72","0","","mitochondria","mitochondria","17.1134","0.84214","0","2.71837","O-methyltransferase, catalyzes two different O-methylation steps in ubiquinone (Coenzyme Q) biosynthesis; component of a mitochondrial ubiquinone-synthesizing complex; phosphoprotein"
"COQ4","YDR204W","mitochondria","31.98","9.86126","mitochondria","133.99","mitochondria","22.8585","below threshold","12.2176","#N/A","25.8167","mitochondria","28.32","0.88","0","11.29","mitochondria","28.4","0.88","0","5.23","mitochondria","46.18","1.44","1","","mitochondria","mitochondria","34.4967","1.07837","0","5.49007","Protein with a role in ubiquinone (Coenzyme Q) biosynthesis, possibly functioning in stabilization of Coq7p; located on the matrix face of the mitochondrial inner membrane; component of a mitochondrial ubiquinone-synthesizing complex"
"COQ5","YML110C","mitochondria","26.98","10.4226","cytosol","183.911","nucleus","17.2211","below threshold","127.919","#N/A","0","mitochondria","","","0","","mitochondria","","","0","","mitochondria","","","","","mitochondria","mitochondria","","","0","","2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes"
"COQ6","YGR255C","mitochondria","33.76","8.23339","mitochondria","92.4225","mitochondria","20.473","below threshold","6.28348","#N/A","23.9852","mitochondria","64.21","1.9","1","23.41","mitochondria","29.14","0.86","0","5.98","mitochondria","52.13","1.54","1","","mitochondria","mitochondria","45.0851","1.33493","0","10.6052","Putative flavin-dependent monooxygenase, involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes"
"COQ9","YLR201C","mitochondria","36.8","10.2935","mitochondria","135.28","mitochondria","","missing","6.52581","#N/A","27.5601","mitochondria","41.11","1.11","0","15.21","mitochondria","33.53","0.91","0","6.67","mitochondria","44.75","1.21","0","","mitochondria","mitochondria","39.9139","1.08446","0","5.54634","Protein required for ubiquinone (coenzyme Q) biosynthesis and respiratory growth; localizes to the matrix face of the mitochondrial inner membrane in a large complex with ubiquinone biosynthetic enzymes"
"COR1","YBL045C","mitochondria","101.48","45.2168","mitochondria","177.259","missing","56.7155","cytosol,punctate","","#N/A","33.2718","mitochondria","122.6","1.2","0","85.07","mitochondria","78.39","0.77","0","25.98","mitochondria","169.82","1.67","1","","mitochondria","mitochondria","84.0376","0.828005","0","22.4796","Core subunit of the ubiquinol-cytochrome c reductase complex (bc1 complex), which is a component of the mitochondrial inner membrane electron transport chain"
"COX10","YPL172C","mitochondria","15.35","4.22605","mitochondria","41.2001","mitochondria","17.3709","mitochondria","54.1353","#N/A","35.0748","mitochondria","16.15","1.05","0","6.16","mitochondria","15.21","0.99","0","2.89","mitochondria","17.59","1.14","0","","mitochondria","mitochondria","15.0013","0.977209","0","1.55816","Heme A:farnesyltransferase, catalyzes the first step in the conversion of protoheme to the heme A prosthetic group required for cytochrome c oxidase activity; human ortholog is associated with mitochondrial disorders"
"COX15","YER141W","mitochondria","98.56","25.6484","mitochondria","92.3526","mitochondria","70.4705","mitochondria","140.589","#N/A","29.183","mitochondria","147.72","1.49","1","57.58","mitochondria","117.76","1.19","0","25.15","mitochondria","139.86","1.41","1","","mitochondria","mitochondria","108.993","1.10576","0","17.9593","Protein required for the hydroxylation of heme O to form heme A, which is an essential prosthetic group for cytochrome c oxidase"
"COX18","YGR062C","mitochondria","18.84","4.28603","mitochondria","48.3862","mitochondria","15.5957","missing","5.56323","#N/A","23.9412","mitochondria","19.66","1.04","0","6.65","mitochondria","18.24","0.96","0","2.85","mitochondria","19.96","1.05","0","","mitochondria","mitochondria","16.5305","0.87714","0","2.95099","Mitochondrial integral inner membrane protein required for membrane insertion of C-terminus of Cox2p; interacts genetically and physically with Mss2p and Pnt1p; similar to S. cerevisiae Oxa1, N. crassa Oxa2p, and E. coli YidC"
"COX6","YHR051W","mitochondria","179.51","62.2437","mitochondria","176.647","mitochondria","0","missing","417.702","#N/A","79.3997","mitochondria","157.44","0.87","0","85.38","mitochondria","79.61","0.44","-1","21.98","mitochondria","243.51","1.35","0","","mitochondria","mitochondria","122.602","0.682972","-1","36.9482","Subunit VI of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; expression is regulated by oxygen levels"
"COX7","YMR256C","mitochondria","71.53","23.9389","mitochondria","53.5335","mitochondria","21.4065","cell periphery","68.3338","#N/A","","mitochondria","59.48","0.83","0","20.76","mitochondria","66.21","0.92","0","16.31","mitochondria","79.44","1.11","0","","mitochondria","mitochondria","55.9774","0.7824","0","8.49068","Subunit VII of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain"
"COX8","YLR395C","mitochondria","46.45","16.0951","mitochondria","135.151","mitochondria","23.5315","mitochondria","12.6315","#N/A","26.3633","mitochondria","45.05","0.96","0","19.8","mitochondria","34.95","0.75","0","10.34","mitochondria","53.23","1.14","0","","mitochondria","mitochondria","25.3814","0.546277","-1","5.83626","Subunit VIII of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain"
"CTP1","YBR291C","mitochondria","50.8","16.309","mitochondria","81.8618","mitochondria","72.4571","mitochondria","71.2509","mitochondria","27.2343","mitochondria","32.73","0.64","0","16.46","mitochondria","46.15","0.9","0","9.55","mitochondria","24.21","0.47","-1","","mitochondria","mitochondria","52.4535","1.03238","0","8.01427","Mitochondrial inner membrane citrate transporter, member of the mitochondrial carrier family"
"CYC2","YOR037W","mitochondria","16.07","4.35246","mitochondria","68.0407","mitochondria","21.6066","below threshold","71.3004","#N/A","25.9707","mitochondria","18.97","1.18","0","5.55","mitochondria","15.73","0.97","0","3.78","mitochondria","18.25","1.13","0","","mitochondria","mitochondria","16.0739","0.999862","0","2.5248","Mitochondrial peripheral inner membrane protein, contains a FAD cofactor in a domain exposed in the intermembrane space; exhibits redox activity in vitro; likely participates in ligation of heme to acytochromes c and c1 (Cyc1p and Cyt1p)"
"CYC3","YAL039C","mitochondria","18.8","5.09838","mitochondria","83.2317","missing","16.1497","below threshold","","#N/A","","mitochondria","20.78","1.1","0","7.02","mitochondria","14.44","0.76","0","2.82","mitochondria","26.11","1.38","0","","mitochondria","mitochondria","15.1097","0.803552","0","1.79818","Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)"
"CYM1","YDR430C","mitochondria","41.41","8.56863","mitochondria","54.7401","mitochondria","28.978","mitochondria","28.8668","#N/A","0","mitochondria","41.41","1","0","13.41","mitochondria","47.93","1.15","0","6.93","mitochondria","42.06","1.01","0","","mitochondria","mitochondria","48.1359","1.1623","0","5.75956","Lysine-specific metalloprotease of the mitochondrial intermembrane space, member of the pitrilysin family; degrades proteins and presequence peptides cleaved from imported proteins; required for normal mitochondrial morphology"
"CYT1","YOR065W","mitochondria","70","26.7178","mitochondria","114.582","mitochondria","15.3409","mitochondria","13.6048","#N/A","0","mitochondria","67.62","0.96","0","28.68","mitochondria","63.98","0.91","0","12.56","mitochondria","97.66","1.39","1","","mitochondria","mitochondria","62.2256","0.888836","0","10.8217","Cytochrome c1, component of the mitochondrial respiratory chain; expression is regulated by the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex"
"DFR1","YOR236W","mitochondria","36.26","8.59325","cytosol","121.149","cytosol","36.393","cytosol","173.602","cytosol","54.9881","mitochondria","48.96","1.34","1","18.14","mitochondria","30.68","0.84","0","6.18","mitochondria","43.6","1.2","0","","mitochondria","mitochondria","33.4476","0.92221","0","3.77069","Dihydrofolate reductase, part of the dTTP biosynthetic pathway, involved in folate metabolism, possibly required for mitochondrial function"
"DIA4","YHR011W","mitochondria","22.36","4.04442","mitochondria","50.3269","mitochondria","31.0689","cytosol","80.8178","#N/A","32.6203","mitochondria","18.24","0.81","-1","7.66","mitochondria","20.34","0.9","0","4.46","mitochondria","19.78","0.88","0","","punctate","mitochondria","","","0","","Probable mitochondrial seryl-tRNA synthetase, mutant displays increased invasive and pseudohyphal growth"
"DLD1","YDL174C","mitochondria","34.24","10.2556","mitochondria","171.33","mitochondria","30.744","mitochondria","192.259","#N/A","30.7985","mitochondria","41.33","1.2","0","18.03","mitochondria","33.47","0.97","0","6.63","mitochondria","26.48","0.77","0","","mitochondria","mitochondria","32.8201","0.958207","0","6.48801","D-lactate dehydrogenase, oxidizes D-lactate to pyruvate, transcription is heme-dependent, repressed by glucose, and derepressed in ethanol or lactate; located in the mitochondrial inner membrane"
"DLD2","YDL178W","mitochondria","66.2","16.655","mitochondria","118.284","mitochondria","60.7467","mitochondria","145.163","#N/A","59.0638","mitochondria","84.74","1.27","0","29.51","mitochondria","71.18","1.07","0","10.04","mitochondria","42.9","0.64","0","","mitochondria","mitochondria","71.5458","1.08048","0","12.0239","D-lactate dehydrogenase, located in the mitochondrial matrix"
"DSS1","YMR287C","mitochondria","19.75","6.02755","mitochondria","32.9186","missing","20.3234","below threshold","0","#N/A","30.5417","mitochondria","21.32","1.07","0","6.12","mitochondria","19.44","0.98","0","4.2","mitochondria","20.33","1.02","0","","mitochondria","mitochondria","17.7628","0.898894","0","2.40808","3'-5' exoribonuclease, component of the mitochondrial degradosome along with the ATP-dependent RNA helicase Suv3p; the degradosome associates with the ribosome and mediates turnover of aberrant or unprocessed RNAs"
"DUG1","YFR044C","cytosol:mitochondria","52.43","17.0739","cytosol","262.196","missing","","missing","","#N/A","","cytosol.mitochondria","100.99","1.92","1","63.97","cytosol.mitochondria","61.05","1.16","0","11.67","cytosol,mitochondria","74.09","1.41","1","","cytosol:mitochondria","cytosol:mitochondria","61.0565","1.16447","0","8.96008","Cys-Gly metallo-di-peptidase; forms a complex with Dug2p and Dug3p to degrade glutathione (GSH) and other peptides containing a gamma-glu-X bond in an alternative pathway to GSH degradation by gamma-glutamyl transpeptidase (Ecm38p)"
"ECM18","YDR125C","mitochondria","17.73","4.22629","mitochondria","35.6568","missing","18.2641","below threshold","23.1319","#N/A","0","mitochondria","19.98","1.12","0","7.02","mitochondria","17.63","0.99","0","3.35","mitochondria","15.48","0.87","0","","mitochondria","mitochondria","18.9332","1.06742","0","3.07083","Protein of unknown function, similar to Rlp24p"
"ECM19","YLR390W","mitochondria","24.58","6.00339","cytosol,nucleus","55.0638","punctate","21.259","below threshold","10.7266","below threshold","25.6506","mitochondria","22.13","0.9","0","5.75","mitochondria","29.31","1.19","0","5.42","mitochondria","19.49","0.79","0","","mitochondria","mitochondria","18.4889","0.752062","0","2.06874","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"ECM31","YBR176W","mitochondria","19.82","5.15976","mitochondria","151.648","mitochondria","22.8125","below threshold","6.83215","#N/A","25.3533","mitochondria","20.43","1.03","0","6.2","mitochondria","18.91","0.95","0","3.58","mitochondria","16.62","0.83","0","","mitochondria","mitochondria","19.2764","0.972271","0","3.58035","Ketopantoate hydroxymethyltransferase, required for pantothenic acid biosynthesis, converts 2-oxoisovalerate into 2-dehydropantoate"
"EHD3","YDR036C","mitochondria","59.47","15.6832","mitochondria","125.137","mitochondria","29.6033","cytosol,punctate","134.73","#N/A","","mitochondria","67.35","1.13","0","20.85","mitochondria","60.64","1.01","0","13.64","mitochondria","60.95","1.02","0","","mitochondria","mitochondria","57.4451","0.965779","0","13.1176","3-hydroxyisobutyryl-CoA hydrolase, member of a family of enoyl-CoA hydratase/isomerases; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; phosphorylated; mutation affects fluid-phase endocytosis"
"EMI5","YOL071W","mitochondria","27.35","7.66739","","","","","","","","","mitochondria","34.78","1.27","0","14.01","mitochondria","26.78","0.97","0","6.31","mitochondria","44.82","1.63","1","","mitochondria","mitochondria","28.4418","1.03985","0","6.3982","Subunit of succinate dehydrogenase, which couples succinate oxidation to ubiquinone reduction; required for FAD cofactor attachment to Sdh1p; mutations in human ortholog PGL2 are associated with neuroendocrine tumors (paraganglioma)"
"ERG20","YJL167W","mitochondria","21.66","6.12677","","","","","","","","","mitochondria","19.95","0.92","0","7.67","mitochondria","22.6","1.04","0","4.18","mitochondria","31.38","1.44","1","","mitochondria","mitochondria","18.1751","0.83876","0","2.48883","Farnesyl pyrophosphate synthetase, has both dimethylallyltranstransferase and geranyltranstransferase activities; catalyzes the formation of C15 farnesyl pyrophosphate units for isoprenoid and sterol biosynthesis"
"ETR1","YBR026C","mitochondria","18.18","4.54614","cytosol","270.734","cytosol","58.241","cytosol","330.564","#N/A","0","mitochondria","18.84","1.03","0","6.82","mitochondria","19.67","1.08","0","4.19","mitochondria","39.04","2.14","0","","mitochondria","mitochondria","18.794","1.03357","0","2.80866","2-enoyl thioester reductase, member of the medium chain dehydrogenase/reductase family; localized to in mitochondria, where it has a probable role in fatty acid synthesis"
"EXO5","YBR163W","mitochondria","17.42","3.90622","mitochondria","80.1935","mitochondria","20.7225","cytosol,mitochondria","11.66","#N/A","","mitochondria","20.66","1.18","0","7.34","mitochondria","18.39","1.05","0","4.27","mitochondria","16.48","0.94","0","","mitochondria","mitochondria","21.2742","1.22096","0","3.17718","Mitochondrial 5'-3' exonuclease and sliding exonuclease, required for mitochondrial genome maintenance; distantly related to the RecB nuclease domain of bacterial RecBCD recombinases; may be regulated by the transcription factor Ace2"
"FMC1","YIL098C","mitochondria","27.18","5.43974","nucleus","27.2701","below threshold","19.2718","below threshold","5.11614","#N/A","22.8484","mitochondria","28.29","1.04","0","10.41","mitochondria","22.53","0.82","0","4.71","mitochondria","45.23","1.66","1","","mitochondria","mitochondria","23.0762","0.848948","0","2.08379","Mitochondrial matrix protein, required for assembly or stability at high temperature of the F1 sector of mitochondrial F1F0 ATP synthase; null mutant temperature sensitive growth on glycerol is suppressed by multicopy expression of Odc1p"
"FMP10","YER182W","mitochondria","21.45","4.31151","mitochondria","100.174","mitochondria","24.272","cytosol,punctate","51.8792","#N/A","27.5333","mitochondria","23.38","1.08","0","7.79","mitochondria","18.64","0.86","0","2.8","mitochondria","26.78","1.24","0","","mitochondria","mitochondria","21.8482","1.01826","0","2.94275","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"FMP16","YDR070C","mitochondria","163.96","188.114","mitochondria","133.331","mitochondria","28.067","mitochondria","313.654","#N/A","","mitochondria","132.82","0.81","0","122.41","mitochondria","123.39","0.75","0","48.23","mitochondria","827.5","5.04","1","","mitochondria","mitochondria","137.803","0.840417","0","53.3784","Putative protein of unknown function; proposed to be involved in responding to conditions of stress; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"FMP21","YBR269C","mitochondria","41.11","9.97857","","","","","","","","","mitochondria","58.33","1.41","1","27.82","mitochondria","39.95","0.97","0","10.37","mitochondria","84.03","2.04","1","","mitochondria","mitochondria","35.7136","0.868582","0","7.74892","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"FMP37","YGL080W","mitochondria","34.29","7.63809","","","","","","","","","mitochondria","31.96","0.93","0","12.37","mitochondria","25.88","0.75","0","5.8","mitochondria","22.05","0.64","-1","","mitochondria","mitochondria","","","0","","Putative protein of unknown function; highly conserved across species and orthologous to human gene BRP44L; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"FMP41","YNL168C","mitochondria","45.05","12.0861","cytosol","128.137","cytosol","29.549","cytosol","10.3401","below threshold","24.6388","mitochondria","46.84","1.03","0","19.78","mitochondria","48.5","1.07","0","9.72","mitochondria","83.45","1.85","1","","mitochondria","mitochondria","51.0584","1.13325","0","10.365","Putative protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"FMP46","YKR049C","mitochondria","22.87","6.5777","cytosol","243.256","cytosol","31.5007","cytosol","322.379","#N/A","0","mitochondria","22.78","0.99","0","11.32","mitochondria","22.19","0.97","0","4.27","mitochondria","39.27","1.71","1","","mitochondria","mitochondria","23.3715","1.02184","0","4.65478","Putative redox protein containing a thioredoxin fold; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"FMT1","YBL013W","mitochondria","17","4.04758","mitochondria","61.137","mitochondria","32.2687","cytosol,mitochondria","74.2021","#N/A","46.4946","mitochondria","","","0","","mitochondria","","","0","","mitochondria","","","","","mitochondria","mitochondria","","","0","","Methionyl-tRNA formyltransferase, catalyzes the formylation of initiator Met-tRNA in mitochondria; potential Cdc28p substrate"
"FYV4","YHR059W","mitochondria","36.06","7.44194","mitochondria","73.383","mitochondria","19.413","mitochondria","7.25927","#N/A","26.0645","mitochondria","37.85","1.04","0","12.56","mitochondria","29.05","0.8","0","5.15","mitochondria","25.16","0.69","0","","mitochondria","mitochondria","29.8451","0.827522","0","6.8541","Protein of unknown function, required for survival upon exposure to K1 killer toxin"
"FZO1","YBR179c","mitochondria","23.57","6.64577","mitochondria","55.3661","mitochondria","22.7093","mitochondria","58.6992","punctate,mitochondria","35.3098","mitochondria","22.12","0.93","0","6.01","mitochondria","22.5","0.95","0","5.11","mitochondria","26.66","1.13","0","","mitochondria","mitochondria","17.6519","0.74862","0","2.53287","Mitofusin, mitochondrial integral membrane protein involved in mitochondrial fusion and mitochondrial genome maintenance; contains N-terminal GTPase domain; targeted for destruction by cytosolic components of the ubiquitin-proteasome system"
"GCV2","YMR189W","mitochondria","79.11","25.153","","","","","","","","","mitochondria","91.11","1.15","0","44.12","mitochondria","91.58","1.15","0","21.86","mitochondria","137.3","1.73","1","","mitochondria","mitochondria","117.765","1.48841","1","22.8303","P subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm"
"GCV3","YAL044C","mitochondria","128.43","44.9306","mitochondria","228.592","mitochondria","127.685","cytosol,mitochondria","423.311","#N/A","84.8764","mitochondria","150.44","1.17","0","71.19","mitochondria","167.32","1.3","0","48.05","mitochondria","469.5","3.65","1","","mitochondria","mitochondria","202.228","1.57444","1","58.1128","H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"
"GEP3","YOR205C","mitochondria","20.39","4.65404","mitochondria","49.8422","mitochondria","0","missing","0","#N/A","36.8911","mitochondria","","","0","","mitochondria","","","0","","mitochondria","","","","","mitochondria","mitochondria","","","0","","Protein of unknown function; null mutant is defective in respiration and interacts synthetically with prohibitin (phb1); the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies"
"GEP5","YLR091W","mitochondria","19.2","3.80073","cytosol,punctate,nucleus","41.5909","nucleus","","missing","27.2951","#N/A","","mitochondria","19.5","1.01","0","6.74","mitochondria","17.53","0.91","0","3.37","mitochondria","19","0.98","0","","mitochondria","mitochondria","18.768","0.977062","0","2.95859","Protein of unknown function, required for mitochondrial genome maintenance; detected in highly purified mitochondria in high-throughput studies; null mutant has decreased levels of cardiolipin and phosphatidylethanolamine"
"GEP7","YGL057C","mitochondria","16.51","4.30817","cytosol,mitochondria","42.2133","punctate,mitochondria","20.0136","below threshold","16.8583","#N/A","0","mitochondria","19.69","1.19","0","5.49","mitochondria","18.15","1.09","0","3.66","mitochondria","27.49","1.66","0","","mitochondria","mitochondria","17.1986","1.04113","0","2.30263","Protein of unknown function; null mutant exhibits a respiratory growth defect and synthetic interactions with prohibitin (phb1) and gem1; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"GLO4","YOR040W","mitochondria","18.6","4.63527","mitochondria","105.297","mitochondria","19.2395","mitochondria","6.79132","#N/A","23.7479","mitochondria","20.16","1.08","0","8.61","mitochondria","19.95","1.07","0","4.69","mitochondria","21.06","1.13","0","","mitochondria","mitochondria","19.4657","1.04635","0","4.03055","Mitochondrial glyoxalase II, catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate"
"GLR1","YPL091W","cytosol:mitochondria","61.05","15.0061","cytosol","347.685","punctate","47.3034","punctate","356.08","cytosol,punctate","80.6787","cytosol.mitochondria","72.28","1.18","0","23.2","cytosol.mitochondria","71.25","1.16","0","22.16","cytosol,mitochondria","59.83","0.97","0","","cytosol:mitochondria","cytosol:mitochondria","55.6903","0.912111","0","7.94558","Cytosolic and mitochondrial glutathione oxidoreductase, converts oxidized glutathione to reduced glutathione; mitochondrial but not cytosolic form has a role in resistance to hyperoxia"
"GRX5","YPL059W","mitochondria","58.04","14.6596","mitochondria","132.036","missing","43.6734","mitochondria","","#N/A","62.9396","mitochondria","79.12","1.36","1","34.44","mitochondria","49.79","0.85","0","12.24","mitochondria","95.12","1.63","1","","mitochondria","mitochondria","40.1668","0.691885","0","6.16855","Hydroperoxide and superoxide-radical responsive glutathione-dependent oxidoreductase; mitochondrial matrix protein involved in the synthesis/assembly of iron-sulfur centers; monothiol glutaredoxin subfamily member along with Grx3p and Grx4p"
"GUF1","YLR289W","mitochondria","21.63","4.65876","","","","","","","","","mitochondria","22.64","1.04","0","7.76","mitochondria","23.57","1.08","0","5.29","mitochondria","22.11","1.02","0","","mitochondria","mitochondria","23.8273","1.10137","0","3.58491","Mitochondrial matrix GTPase that associates with mitochondrial ribosomes; important for translation under temperature and nutrient stress; may have a role in translational fidelity; similar to bacterial LepA elongation factor"
"GUT2","YIL155C","mitochondria","18.71","4.02347","mitochondria","69.7688","mitochondria","32.2524","ambiguous","70.6069","#N/A","29.2287","mitochondria","20.31","1.08","0","9.39","mitochondria","23.77","1.27","0","3.95","mitochondria","17.34","0.92","0","","mitochondria","mitochondria","21.9436","1.17253","0","3.73473","Mitochondrial glycerol-3-phosphate dehydrogenase; expression is repressed by both glucose and cAMP and derepressed by non-fermentable carbon sources in a Snf1p, Rsf1p, Hap2/3/4/5 complex dependent manner"
"HEM15","YOR176W","mitochondria","66.97","24.6857","mitochondria","190.559","mitochondria","34.4488","cell periphery,punctate","206.264","#N/A","41.3758","mitochondria","91.58","1.36","1","40.08","mitochondria","75.91","1.13","0","17.33","mitochondria","94.65","1.41","1","","mitochondria","mitochondria","61.161","0.913154","0","13.0274","Ferrochelatase, a mitochondrial inner membrane protein, catalyzes the insertion of ferrous iron into protoporphyrin IX, the eighth and final step in the heme biosynthetic pathway"
"HER2","YMR293C","mitochondria","19.52","4.77825","cytosol","51.3891","punctate","20.3253","below threshold","25.0782","#N/A","","mitochondria","23.89","1.22","0","9.2","mitochondria","18.4","0.94","0","4.39","mitochondria","21.53","1.1","0","","mitochondria","mitochondria","19.2944","0.987884","0","3.62251","Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; required for remodeling of ER caused by Hmg2p overexpression; similar to bacterial GatA glutamyl-tRNA amidotransferase"
"HFA1","YMR207C","mitochondria","18.55","4.68826","cytosol","43.6676","cytosol","18.3669","below threshold","42.9466","#N/A","0","technical problem","","","0","","mitochondria","21.92","1.18","0","4.28","mitochondria","17.39","0.93","0","","mitochondria","mitochondria","20.9735","1.1301","0","3.57981","Mitochondrial acetyl-coenzyme A carboxylase, catalyzes the production of malonyl-CoA in mitochondrial fatty acid biosynthesis"
"HSP78","YDR258C","mitochondria","76.79","34.8009","mitochondria","138.751","mitochondria","21.1246","mitochondria","164.792","#N/A","42.3698","mitochondria","128.25","1.67","1","80.66","mitochondria","119.25","1.55","1","33.81","mitochondria","284.25","3.7","1","","mitochondria","mitochondria","72.811","0.948048","0","22.1606","Oligomeric mitochondrial matrix chaperone that cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates"
"ICL2","YPR006C","mitochondria","22.58","5.10949","mitochondria","116.772","mitochondria","17.7627","below threshold","128.573","#N/A","42.1979","mitochondria","24.36","1.07","0","9.65","mitochondria","24.66","1.09","0","5.2","mitochondria","17.94","0.79","-1","","mitochondria","mitochondria","23.6618","1.04738","0","3.87623","2-methylisocitrate lyase of the mitochondrial matrix, functions in the methylcitrate cycle to catalyze the conversion of 2-methylisocitrate to succinate and pyruvate; ICL2 transcription is repressed by glucose and induced by ethanol"
"ICP55","YER078C","mitochondria","26.58","7.48639","mitochondria","132.557","mitochondria","21.048","mitochondria","20.7634","#N/A","29.4572","mitochondria","33.42","1.25","0","12.37","mitochondria","21.85","0.82","0","5.31","mitochondria","20.18","0.75","-1","","mitochondria","mitochondria","32.6376","1.22746","0","4.33632","Mitochondrial aminopeptidase; cleaves the N termini of at least 38 imported proteins after cleavage by the mitochondrial processing peptidase (MPP), thereby increasing their stability; member of the aminopeptidase P family"
"ICS3","YJL077C","mitochondria","18.1","5.2175","below threshold","15.9315","below threshold","19.4579","below threshold","6.01972","#N/A","22.6405","mitochondria","21.71","1.19","0","6.07","mitochondria","16.76","0.92","0","3.9","mitochondria","21.46","1.18","0","","mitochondria","mitochondria","15.6415","0.863654","0","1.69698","Protein of unknown function"
"IDH1","YNL037C","mitochondria","161.26","53.352","","","","","","","","","mitochondria","153.89","0.95","0","52.86","mitochondria","182.59","1.13","0","34.99","mitochondria","328.26","2.03","1","","mitochondria","mitochondria","163.515","1.01396","0","26.3194","Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase, which catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle"
"IDH2","YOR136W","mitochondria","227.41","68.8931","mitochondria","177.737","missing","123.172","cell periphery,punctate,vacuole","0","#N/A","43.3336","mitochondria","233.3","1.02","0","106.22","mitochondria","276.1","1.21","0","71.31","punctate, mitochondria","","","","","mitochondria","mitochondria","248.894","1.09445","0","37.0717","Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase, which catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated"
